Date,Stock Code,Trading Volume,Transaction Amount,Opening Price,Highest Price,Lower Price,Closing Price,Price Change Percentage,Number of Transactions
2018-07-16,2330,16107254,3612296896,224.5,225,223.5,223.5,-1,6321
2018-07-17,2330,22554436,5003028272,222.5,223.5,221,221.5,-2,8636
2018-07-18,2330,45802658,10221407834,223,224,222,223,1.5,12139
2018-07-19,2330,43976216,9930715930,225.5,227,224.5,224.5,1.5,12076
2018-07-20,2330,103652023,24367904428,235,237.5,233,237.5,13,39544
2018-07-23,2330,52269877,12621500480,239,245,238.5,241,3.5,19777
2018-07-24,2330,27468267,6599675515,240,241.5,238.5,241,0,10574
2018-07-25,2330,21530312,5173924310,239,241,239,240.5,-0.5,8491
2018-07-26,2330,30856388,7435261120,241,242.5,239.5,241,0.5,10235
2018-07-27,2330,27129646,6605479210,242,244.5,241,244.5,3.5,12493
2018-07-30,2330,22803730,5585710909,244.5,245.5,244,245.5,1,9953
2018-07-31,2330,28202542,6912550610,243.5,246,242,246,0.5,9460
2018-08-01,2330,29777161,7375488342,247,248,246.5,248,2,11667
2018-08-02,2330,22775110,5611725541,249,249.5,243.5,244.5,-3.5,10343
2018-08-03,2330,25165097,6205758662,246,248,245,247,2.5,9585
2018-08-06,2330,22364568,5487396854,245,247,244,245.5,-1.5,9732
2018-08-07,2330,24352418,5922738042,245,245.5,241.5,241.5,-4,9665
2018-08-08,2330,24382432,6011480272,245,247.5,244.5,247.5,6,10247
2018-08-09,2330,15128655,3740736404,247,248,246,247,-0.5,7127
2018-08-10,2330,16125492,3961311040,246.5,247,244.5,245,-2,6558
2018-08-13,2330,17881194,4302280285,241.5,243,239,240.5,-4.5,9875
2018-08-14,2330,17488913,4262753253,245,245,242.5,243.5,3,7415
2018-08-15,2330,19236321,4642117523,244.5,244.5,239.5,241.5,-2,8920
2018-08-16,2330,19155966,4587260340,238,241.5,238,239,-2.5,9397
2018-08-17,2330,19634474,4707354383,239.5,241,239,239.5,0.5,6680
2018-08-20,2330,17014437,4068729103,239.5,240,238,239.5,0,6640
2018-08-21,2330,13871127,3328215657,239,241,238.5,241,1.5,5474
2018-08-22,2330,12679240,3063201922,241.5,242.5,240.5,242,1,5009
2018-08-23,2330,17216240,4200671070,243,244.5,243,244.5,2.5,5660
2018-08-24,2330,15446943,3772959070,245.5,246,243,243.5,-1,5099
2018-08-27,2330,15579299,3825736755,246,246.5,244.5,245,1.5,7858
2018-08-28,2330,40410531,10075613779,248.5,250,248,249.5,4.5,16881
2018-08-29,2330,57633182,14784556456,253.5,259,253.5,259,9.5,25668
2018-08-30,2330,52622808,13914404873,264.5,268,262.5,263.5,4.5,22862
2018-08-31,2330,70000506,17920548387,257.5,259,254,256,-7.5,19019
2018-09-03,2330,34510555,8901193266,259,260,256.5,257,1,11442
2018-09-04,2330,41455615,10654493061,258.5,259.5,255.5,257.5,0.5,9069
2018-09-05,2330,52706459,13833360422,260,264.5,259,264,6.5,16421
2018-09-06,2330,39779488,10467251488,268,268,261,261,-3,11996
2018-09-07,2330,44746728,11753033262,263,264,260.5,264,3,15015
2018-09-10,2330,62851599,16669866076,266.5,266.5,262.5,264.5,0.5,15504
2018-09-11,2330,44981276,11709484991,263,263.5,258,260,-4.5,14768
2018-09-12,2330,38415965,9987682900,261,262,258,260.5,0.5,12104
2018-09-13,2330,37959180,9721989110,260,260,253.5,255,-5.5,14987
2018-09-14,2330,40034219,10379404959,257,261.5,257,261,6,15690
2018-09-17,2330,25041358,6483537091,262.5,262.5,257,258,-3,10710
2018-09-18,2330,34381152,8771502830,256.5,257,254,254.5,-3.5,11097
2018-09-19,2330,69978711,18074954749,258,260,257,258,3.5,14056
2018-09-20,2330,35577071,9225009310,261.5,261.5,257.5,260,2,9444
2018-09-21,2330,36500974,9510363894,261.5,261.5,258,261.5,1.5,10159
2018-09-25,2330,24978062,6552894296,261.5,264,260.5,263.5,2,10082
2018-09-26,2330,25061115,6577367245,263,263.5,261,263.5,0,7007
2018-09-27,2330,38495371,10185827315,264,266,262,265,1.5,11536
2018-09-28,2330,39645486,10412455506,266,266,260,262.5,-2.5,13060
2018-10-01,2330,22409380,5882532290,262,264,261,263,0.5,11914
2018-10-02,2330,38391491,9926505357,262,263,257,257.5,-5.5,17095
2018-10-03,2330,25228536,6527393860,257.5,260,257,260,2.5,9992
2018-10-04,2330,38009727,9690178362,257,257.5,254,254,-6,15094
2018-10-05,2330,40396660,10101451270,250,253,248.5,250,-4,16031
2018-10-08,2330,51083958,12426290240,245.5,246.5,241,243.5,-6.5,20745
2018-10-09,2330,28933345,7051600725,243.5,245,242,244,0.5,11743
2018-10-11,2330,96033657,22115862239,233.5,233.5,227,227.5,-16.5,37543
2018-10-12,2330,54439769,12650322522,231,237,229,237,9.5,17980
2018-10-15,2330,46471280,10766953220,234,234,230.5,230.5,-6.5,16558
2018-10-16,2330,39129077,9155829047,229.5,237,229,237,6.5,15182
2018-10-17,2330,42887858,10318955161,241.5,243,238,238.5,1.5,17550
2018-10-18,2330,27793430,6587887632,238,239,235.5,236.5,-2,10599
2018-10-19,2330,29648460,6927405460,231,236.5,230,236,-0.5,12378
2018-10-22,2330,29275777,6872467149,232.5,238,231.5,237,1,10384
2018-10-23,2330,36757745,8538586595,232,234,230,230,-7,13071
2018-10-24,2330,45480950,10426514872,230,231,227,229.5,-0.5,17339
2018-10-25,2330,75524118,16643542368,220.5,222,219.5,219.5,-10,27514
2018-10-26,2330,54073644,11941421696,223,224,217,221,1.5,17106
2018-10-29,2330,18463792,4107663616,223,224,221,222.5,1.5,7679
2018-10-30,2330,29085931,6487213284,221,225,220.5,223,0.5,8574
2018-10-31,2330,59933201,13844478353,228,234,228,234,11,19183
2018-11-01,2330,44514797,10480329245,236,237,233,235.5,1.5,11435
2018-11-02,2330,30785361,7249667833,236.5,236.5,233.5,236.5,1,11223
2018-11-05,2330,28157065,6592130635,233,235.5,232,235,-1.5,6994
2018-11-06,2330,35501176,8311988968,234,235.5,232.5,234.5,-0.5,7013
2018-11-07,2330,39842652,9337023278,233,236,232.5,234,-0.5,7387
2018-11-08,2330,28086146,6645771069,237.5,237.5,236,236.5,2.5,9461
2018-11-09,2330,23792081,5526997792,234.5,234.5,231,231,-5.5,7886
2018-11-12,2330,26202445,6101377163,230,234.5,230,231.5,0.5,6252
2018-11-13,2330,37565127,8504691960,224.5,228,224.5,227.5,-4,11507
2018-11-14,2330,24565279,5639284241,230,231,228.5,228.5,1,6007
2018-11-15,2330,22230228,5124189444,229.5,232,228.5,231,2.5,5996
2018-11-16,2330,47138909,10696822542,229,229,225,226,-5,16009
2018-11-19,2330,51034754,11355347628,225,225,221,222,-4,16289
2018-11-20,2330,45686756,9995960780,219,220.5,218,218,-4,16874
2018-11-21,2330,38478343,8361178460,214.5,220,214,219,1,13580
2018-11-22,2330,22060610,4867686945,221.5,222,219,219,0,9095
2018-11-23,2330,15553334,3406422046,220.5,220.5,217,218.5,-0.5,6164
2018-11-26,2330,35267804,7847501792,219,224,218.5,223,4.5,9422
2018-11-27,2330,32676349,7239283641,220,224.5,219,224,1,10170
2018-11-28,2330,24759026,5560623349,222.5,227,222,226.5,2.5,8316
2018-11-29,2330,46206207,10629450003,231.5,231.5,229,229,2.5,15849
2018-11-30,2330,57352957,12995823319,229.5,231,225.5,225.5,-3.5,10931
2018-12-03,2330,49612186,11579966474,231,235,231,235,9.5,19747
2018-12-04,2330,41947162,9791147799,233,234.5,231,234,-1,12545
2018-12-05,2330,45634576,10316394736,226.5,227.5,225,226,-8,15703
2018-12-06,2330,40181112,8853295746,220,222,219.5,220,-6,15702
2018-12-07,2330,31997568,7097739916,222.5,223.5,220.5,221,1,8315
2018-12-10,2330,26229461,5744814170,219.5,220,218.5,219,-2,8650
2018-12-11,2330,27395220,6067551383,220,223,219,222.5,3.5,8509
2018-12-12,2330,32926379,7418108779,223.5,227,222.5,226.5,4,9117
2018-12-13,2330,32433141,7345479366,227,227.5,225,226,-0.5,8635
2018-12-14,2330,43226159,9570070114,223,223.5,220.5,222.5,-3.5,10454
2018-12-17,2330,18964952,4229977248,221,225,220,223.5,1,6449
2018-12-18,2330,30270541,6713448829,221,223,220.5,222.5,-1,10521
2018-12-19,2330,23415082,5255393450,222,225.5,222,225.5,3,7875
2018-12-20,2330,38697116,8573665030,221,222.5,221,221,-4.5,10528
2018-12-21,2330,46947532,10401202852,219,224,219,223.5,2.5,9554
2018-12-22,2330,5185247,1145814834,220,221.5,220,221.5,-2,2229
2018-12-24,2330,23376100,5151549100,221.5,221.5,219.5,220,-1.5,6122
2018-12-25,2330,19402777,4198767163,215.5,218,215,217.5,-2.5,8065
2018-12-26,2330,16893259,3678108462,218.5,219.5,216,216.5,-1,6998
2018-12-27,2330,21915484,4874845852,222,224,220.5,223,6.5,9531
2018-12-28,2330,30156773,6762447425,223.5,225.5,222.5,225.5,2.5,10247
2019-01-02,2330,32900482,7276419230,226.5,226.5,219,219.5,-6,12329
2019-01-03,2330,34615620,7459051790,214,218,214,215.5,-4,14549
2019-01-04,2330,67043521,13987136785,211.5,211.5,206.5,208,-7.5,28786
2019-01-07,2330,35695176,7591116569,212,214,211,213,5,11224
2019-01-08,2330,23794481,5019703557,212,212.5,210,211,-2,9377
2019-01-09,2330,51255446,11006827093,212,216.5,211,215.5,4.5,14098
2019-01-10,2330,20832593,4491377349,216,216.5,214.5,216,0.5,6018
2019-01-11,2330,28658288,6296719320,219,220.5,218,220.5,4.5,11198
2019-01-14,2330,17612296,3844735324,218.5,220,217,218.5,-2,6469
2019-01-15,2330,42990923,9399209983,216.5,221,215.5,221,2.5,11609
2019-01-16,2330,30038282,6563789758,218.5,220,217.5,217.5,-3.5,8950
2019-01-17,2330,21163986,4646131841,218,221,218,220.5,3,8288
2019-01-18,2330,52677569,11530053787,219,220,217.5,218.5,-2,15157
2019-01-21,2330,32515866,7208829658,220,223,220,221,2.5,10549
2019-01-22,2330,30958483,6854867566,220,223,219,223,2,8258
2019-01-23,2330,18671213,4121110926,221.5,222,220,220.5,-2.5,7059
2019-01-24,2330,31348924,6958753608,222.5,222.5,220.5,222.5,2,6291
2019-01-25,2330,48039764,10870045150,226.5,227,225,226,3.5,14979
2019-01-28,2330,29134257,6665379096,229.5,229.5,228,229,3,10189
2019-01-29,2330,42566520,9486156460,222.5,225,222,222.5,-6.5,13344
2019-01-30,2330,51889945,11453957730,220.5,221.5,220,221,-1.5,12858
2019-02-11,2330,81360106,18546167132,228,229,226.5,228,7,21689
2019-02-12,2330,30125670,6921488930,230,230,229,230,2,13313
2019-02-13,2330,28634925,6575201825,232,232,228.5,229,-1,10230
2019-02-14,2330,23647751,5392943977,229.5,230,226,227,-2,6873
2019-02-15,2330,22369799,5093773373,229,229,226.5,227,0,5743
2019-02-18,2330,18163916,4169729625,229,230.5,228.5,230,3,7035
2019-02-19,2330,18423023,4228108427,230,230.5,229,229,-1,6471
2019-02-20,2330,31887710,7430197670,231.5,234.5,231,234.5,5.5,14241
2019-02-21,2330,34013489,8013908284,235.5,236.5,234.5,236.5,2,11443
2019-02-22,2330,22032163,5187054985,235.5,236.5,234,236.5,0,6913
2019-02-25,2330,25227138,5995746054,237.5,239,236,238,1.5,8527
2019-02-26,2330,24586789,5864298571,239,240,236.5,239.5,1.5,7994
2019-02-27,2330,37947889,9052540803,238.5,239.5,237,239,-0.5,9931
2019-03-04,2330,45164513,10691130829,239.5,239.5,234.5,235.5,-3.5,13323
2019-03-05,2330,23708407,5533050748,234,234.5,232.5,233,-2.5,8706
2019-03-06,2330,20811226,4872352124,235,235.5,233.5,234,1,7090
2019-03-07,2330,17226192,4029782428,235,235,233,234,0,5768
2019-03-08,2330,22535659,5183171608,231,231.5,229,230,-4,8931
2019-03-11,2330,34282793,7835079913,228,230.5,227.5,230.5,0.5,7451
2019-03-12,2330,23839972,5601351324,233,237,232.5,235.5,5,9253
2019-03-13,2330,22493195,5308051755,234,237,234,237,1.5,6269
2019-03-14,2330,17281356,4077045380,239,239,234,234.5,-2.5,6564
2019-03-15,2330,34542729,8231572752,237,239.5,235.5,239,4.5,8872
2019-03-18,2330,27040532,6493129050,239.5,241,239,241,2,10690
2019-03-19,2330,14620009,3496720720,239,240.5,238,240.5,-0.5,7105
2019-03-20,2330,23055971,5563557011,242,242,239.5,242,1.5,6757
2019-03-21,2330,27514502,6710510004,242.5,245.5,241,245.5,3.5,11071
2019-03-22,2330,22996467,5680726299,248,248.5,244.5,248.5,3,10485
2019-03-25,2330,19273254,4662705968,240.5,243.5,240.5,241.5,-7,8468
2019-03-26,2330,21053170,5109273236,243,244,241,244,2.5,6630
2019-03-27,2330,23622089,5703467700,242,242.5,240.5,241.5,-2.5,7603
2019-03-28,2330,13998054,3379510718,240.5,242.5,240,242,0.5,3948
2019-03-29,2330,31024810,7568601014,243,245.5,240.5,245.5,3.5,6712
2019-04-01,2330,35330656,8758161220,251,251,245,245.5,0,13292
2019-04-02,2330,25189053,6226523038,249.5,249.5,246,246,0.5,9171
2019-04-03,2330,28581323,7075597562,249,249,246.5,246.5,0.5,8067
2019-04-08,2330,46426821,11682512762,251,253,250.5,253,6.5,16430
2019-04-09,2330,22745674,5760337782,253,254,252,254,1,8323
2019-04-10,2330,33174934,8403528302,253,254.5,252,254,0,9992
2019-04-11,2330,25146840,6347861680,253,254,251.5,252,-2,8284
2019-04-12,2330,13888148,3496444666,251.5,253,251,252,0,4931
2019-04-15,2330,17257002,4403988510,255,256,254,255.5,3.5,6739
2019-04-16,2330,20231648,5185697928,257,257,255.5,257,1.5,7676
2019-04-17,2330,39037191,10202504410,260,263,259.5,261.5,4.5,13486
2019-04-18,2330,48525490,12836006732,264,266,263.5,264.5,3,12208
2019-04-19,2330,47698699,12712409558,269,269.5,263.5,264.5,0,14431
2019-04-22,2330,24967393,6635995145,266.5,267.5,265,266,1.5,8527
2019-04-23,2330,26251847,7017363629,266.5,268,266,268,2,9394
2019-04-24,2330,37386755,10044241090,270,270,267.5,269,1,9687
2019-04-25,2330,36572455,9800038536,268.5,269,267,267.5,-1.5,7331
2019-04-26,2330,51743804,13459329059,262,263,257.5,260,-7.5,16674
2019-04-29,2330,32651618,8477117257,260,262,258.5,259.5,-0.5,10407
2019-04-30,2330,40446419,10484399861,260,260.5,258,259,-0.5,10939
2019-05-02,2330,27376394,7122135656,261.5,262.5,258.5,259,0,9110
2019-05-03,2330,30200246,7940572444,262,265,260.5,265,6,10068
2019-05-06,2330,33688187,8717053470,260,260,258,259,-6,12535
2019-05-07,2330,25686126,6719199455,259.5,263,259,262.5,3.5,8339
2019-05-08,2330,25902364,6750083504,260,261.5,259.5,260,-2.5,7905
2019-05-09,2330,34166574,8798140796,259.5,259.5,256,256.5,-3.5,10995
2019-05-10,2330,18868212,4844594484,257,259,255,256,-0.5,8009
2019-05-13,2330,29317535,7374249589,253,254,249.5,250.5,-5.5,11974
2019-05-14,2330,45620708,11345067455,247.5,251,245,248.5,-2,14283
2019-05-15,2330,37223479,9327051888,251,252,249,249,0.5,12041
2019-05-16,2330,30331519,7520908612,248.5,249.5,246,247,-2,11402
2019-05-17,2330,40006856,9775372898,249,249,241.5,241.5,-5.5,15217
2019-05-20,2330,47097661,11303513908,242.5,243,238,238,-3.5,13099
2019-05-21,2330,82872775,19418705158,233.5,236,232.5,234,-4,25418
2019-05-22,2330,36289034,8669172710,236.5,240.5,235.5,238,4,14019
2019-05-23,2330,62258627,14379543985,233.5,233.5,230,230,-8,24974
2019-05-24,2330,38226789,8866253632,230,234,230,233,3,14586
2019-05-27,2330,37447033,8697538216,234,235,231,231,-2,13895
2019-05-28,2330,99322033,22910765567,232,232,230.5,230.5,-0.5,10122
2019-05-29,2330,32260236,7385029780,228,230.5,227,229.5,-1,10233
2019-05-30,2330,40375328,9292745636,230,231.5,229,231,1.5,8772
2019-05-31,2330,49163217,11559578381,232,237.5,231,235.5,4.5,14365
2019-06-03,2330,36687092,8651389851,235.5,238.5,232,238,2.5,8857
2019-06-04,2330,24443428,5745045809,237.5,238,233,233,-5,11779
2019-06-05,2330,35901584,8461930934,238,238,234,235,2,12064
2019-06-06,2330,34651731,8008768323,231.5,232,229.5,232,-3,14723
2019-06-10,2330,35521888,8442986620,237.5,240,234.5,240,8,15588
2019-06-11,2330,34691670,8448805962,240,246,239,244.5,4.5,13157
2019-06-12,2330,30409556,7469805086,244.5,247.5,243,246,1.5,11457
2019-06-13,2330,33731724,8136137708,242.5,244,240,240,-6,13552
2019-06-14,2330,35403556,8396819832,238.5,239.5,236,236,-4,14911
2019-06-17,2330,51692012,12043369475,231.5,235,230.5,233,-3,20943
2019-06-18,2330,28798087,6758454612,234,235.5,233,235.5,2.5,9681
2019-06-19,2330,50234372,12181979568,242.5,244,240.5,244,8.5,20528
2019-06-20,2330,39717291,9697726719,242,245.5,241,245,1,13879
2019-06-21,2330,62136304,15398139830,248,248.5,246,248.5,3.5,19049
2019-06-24,2330,43460507,10476936660,241,242,240,241,0,17780
2019-06-25,2330,29735283,7118002390,241,241.5,237,238.5,-2.5,11130
2019-06-26,2330,28770041,6757991717,235,236.5,234,234.5,-4,13535
2019-06-27,2330,42007834,10063332494,236,241.5,236,240.5,6,14983
2019-06-28,2330,28085212,6715488371,241.5,241.5,238,239,-1.5,8987
2019-07-01,2330,66370875,16445222750,245.5,250,245,248.5,9.5,29551
2019-07-02,2330,26832202,6671951743,249.5,250,247.5,249,0.5,12531
2019-07-03,2330,29549774,7190777082,244,245,242,242.5,-6.5,16033
2019-07-04,2330,18691240,4561556160,244.5,245,242.5,244,1.5,8565
2019-07-05,2330,27317074,6624379927,244.5,245,241.5,243,-1,9013
2019-07-08,2330,29190909,7057462187,240,244.5,240,242.5,-0.5,10552
2019-07-09,2330,16538987,3998096596,241.5,243,240.5,242,-0.5,6486
2019-07-10,2330,23812131,5839691357,243,247,243,247,5,12366
2019-07-11,2330,31296289,7809358257,250,250,247.5,250,3,14360
2019-07-12,2330,23868432,5984689000,252,252,249.5,250.5,0.5,8363
2019-07-15,2330,34264300,8663129910,251,254.5,249.5,254.5,4,12174
2019-07-16,2330,26141249,6678755679,254,256.5,253.5,256,1.5,8994
2019-07-17,2330,34346648,8686815824,254,254,251,252,-4,11106
2019-07-18,2330,20908575,5300082470,252,254.5,251.5,254,2,8245
2019-07-19,2330,59879798,15573278932,259.5,261,259,259,5,21827
2019-07-22,2330,31863639,8385222407,263,264,262,264,5,13424
2019-07-23,2330,29273223,7734089131,265.5,266.5,262.5,264,0,12791
2019-07-24,2330,24511039,6484708226,266.5,266.5,263,265,1,10617
2019-07-25,2330,30698545,8091922380,264,265,261.5,265,0,10643
2019-07-26,2330,20768071,5434082968,261,262.5,261,261,-4,8850
2019-07-29,2330,18473320,4822762518,260,262,259.5,261,0,6681
2019-07-30,2330,22895612,5975389270,262.5,263,260,260,-1,7191
2019-07-31,2330,36365601,9413416604,260,260,257,259.5,-0.5,10468
2019-08-01,2330,30107526,7722031382,257.5,257.5,255.5,256.5,-3,11372
2019-08-02,2330,54165644,13627068452,252,253.5,250.5,251.5,-5,18096
2019-08-05,2330,52835721,13092403583,251,252,245.5,246.5,-5,20136
2019-08-06,2330,58916879,14440787992,240,250,240,248.5,2,22358
2019-08-07,2330,29435460,7305272500,250,250.5,246.5,248,-0.5,11208
2019-08-08,2330,30140266,7599200564,248,254,248,253.5,5.5,11228
2019-08-12,2330,24732603,6242935989,254.5,254.5,251,251,-2.5,8415
2019-08-13,2330,25045107,6204239476,249,249.5,246.5,246.5,-4.5,11377
2019-08-14,2330,36336703,9142333535,252.5,254,249.5,249.5,3,13609
2019-08-15,2330,28277412,6994442633,247,248.5,246,248,-1.5,10852
2019-08-16,2330,25696715,6420744887,249.5,252,248,250,2,8994
2019-08-19,2330,25098514,6326683127,251.5,253,250.5,252,2,9398
2019-08-20,2330,20620494,5233263533,254,254.5,252.5,254.5,2.5,8214
2019-08-21,2330,20269296,5152545480,254.5,255,253,254.5,0,7383
2019-08-22,2330,22136840,5659296700,257,257.5,254,254,-0.5,8794
2019-08-23,2330,14772877,3748071178,253.5,254.5,253,254,0,5663
2019-08-26,2330,31740620,7910873500,249,250.5,248.5,248.5,-5.5,13388
2019-08-27,2330,53664951,13410582151,250.5,251,248.5,250,1.5,8939
2019-08-28,2330,15280882,3852096070,250.5,253,250.5,252,2,6829
2019-08-29,2330,20085767,5078703588,253,254,251,254,2,6596
2019-08-30,2330,35299201,9092482858,256.5,259,256,259,5,13703
2019-09-02,2330,14776854,3800453292,258,258,256,257.5,-1.5,7608
2019-09-03,2330,26086495,6642868555,256.5,258,253,254,-3.5,11210
2019-09-04,2330,23697733,6081456520,254,258,254,257.5,3.5,9291
2019-09-05,2330,49041728,12869665251,263,263,260.5,263,5.5,22796
2019-09-06,2330,26609515,7016868801,265,265,263,263.5,0.5,11957
2019-09-09,2330,17317833,4585545966,265.5,266,263.5,265,1.5,8762
2019-09-10,2330,30019866,7862297242,263.5,264,260.5,261.5,-3.5,11831
2019-09-11,2330,36266015,9508884445,264,264.5,260.5,263,1.5,12058
2019-09-12,2330,38792293,10198483555,265,265,261.5,262.5,-0.5,8282
2019-09-16,2330,38913966,10258240252,262,265.5,261.5,265.5,3,11120
2019-09-17,2330,30069844,7979032930,266.5,266.5,264.5,265,-0.5,9222
2019-09-18,2330,51360759,13754334364,267,269.5,266.5,267,2,17993
2019-09-19,2330,27165567,7216457755,268,268,264,265,0,10194
2019-09-20,2330,44555865,11785924559,266,266.5,264,264,-1,9109
2019-09-23,2330,14220208,3749146092,264,264,263,264,0,5647
2019-09-24,2330,24304943,6419420695,263.5,265.5,262,265,1,9180
2019-09-25,2330,23244163,6144037875,262.5,266,262,266,1,7145
2019-09-26,2330,34128103,9139219995,269,269.5,266.5,268,2,11861
2019-09-27,2330,44242817,12021629536,271.5,272.5,271,272,4,16626
2019-10-01,2330,75248890,20886838992,273,280.5,273,280,8,26648
2019-10-02,2330,30572953,8553297334,280,281,279,279.5,-0.5,12294
2019-10-03,2330,35874864,9891620358,274,277.5,274,276.5,-3,12853
2019-10-04,2330,35814613,9924872301,279.5,280,275,276.5,0,13780
2019-10-07,2330,17750230,4944376000,279,279.5,277.5,278,1.5,7757
2019-10-08,2330,39868551,11341522526,283.5,286.5,282.5,286.5,8.5,16721
2019-10-09,2330,34895456,9890256397,283.5,286,282,282,-4.5,14567
2019-10-14,2330,53403517,15508059122,291.5,291.5,288.5,290,8,17812
2019-10-15,2330,54754830,16088110873,293.5,296,292,293.5,3.5,15485
2019-10-16,2330,42917144,12670374493,298,298,293.5,296.5,3,16650
2019-10-17,2330,41920938,12296120182,295,295.5,292,293.5,-3,15170
2019-10-18,2330,45460984,13299843176,293,295.5,291,293,-0.5,18000
2019-10-21,2330,35860365,10389254035,291,291,288.5,290,-3,14682
2019-10-22,2330,26525020,7767636380,292.5,294,291.5,294,4,10186
2019-10-23,2330,30382408,8877572772,293.5,293.5,290.5,293,-1,11753
2019-10-24,2330,29040827,8488069650,294.5,294.5,291,293,0,10649
2019-10-25,2330,25082711,7362074526,294.5,294.5,292.5,293.5,0.5,11064
2019-10-28,2330,20216561,5958714595,295,295.5,294,294.5,1,9257
2019-10-29,2330,37130131,11044649541,297,298.5,296.5,298.5,4,14060
2019-10-30,2330,32370342,9646551600,298.5,299.5,296.5,299.5,1,11084
2019-10-31,2330,43123514,12921309531,300,301.5,298.5,298.5,-1,12997
2019-11-01,2330,30216678,8998151212,299.5,299.5,296.5,299,0.5,10241
2019-11-04,2330,45155671,13767873778,302.5,308,301,307,8,18475
2019-11-05,2330,32253184,9965563625,307.5,310.5,307,310.5,3.5,13698
2019-11-06,2330,22149743,6864516290,309,311.5,308,311,0.5,9660
2019-11-07,2330,28453659,8769417841,310,310,306.5,309,-2,12277
2019-11-08,2330,26230542,8040782450,308.5,309,305.5,305.5,-3.5,12740
2019-11-11,2330,35285583,10660082266,305,305,300,301,-4.5,15246
2019-11-12,2330,19016708,5774255431,302.5,305,302,305,4,8957
2019-11-13,2330,18422438,5583245970,303,304,301.5,304,-1,6039
2019-11-14,2330,15734835,4776767840,304.5,305,302,303.5,-0.5,6219
2019-11-15,2330,29038445,8891701115,305.5,307.5,304.5,307,3.5,8672
2019-11-18,2330,18741325,5796331075,308.5,311,307,311,4,8420
2019-11-19,2330,33096197,10365611120,312.5,315,311,315,4,11121
2019-11-20,2330,24538973,7681229345,314,314,312,313.5,-1.5,9143
2019-11-21,2330,30163833,9329845096,309.5,311,307,311,-2.5,11638
2019-11-22,2330,26492984,8188665024,310,310.5,308,309,-2,9407
2019-11-25,2330,19855177,6133713443,310.5,310.5,307,307,-2,8067
2019-11-26,2330,101916622,31332308518,310,310.5,307,307,0,10321
2019-11-27,2330,18527648,5732316828,307.5,311.5,307.5,311,4,7916
2019-11-28,2330,19718982,6111322584,310,312,308.5,309.5,-1.5,9289
2019-11-29,2330,32423561,9922872967,309,309.5,305,305,-4.5,15368
2019-12-02,2330,25516807,7844458306,307,308,306.5,307.5,2.5,8465
2019-12-03,2330,27686319,8472595177,305,307,305,307,-0.5,9206
2019-12-04,2330,34911686,10652239802,305,306,304,306,-1,9989
2019-12-05,2330,39349842,12240671524,309,312,309,312,6,13587
2019-12-06,2330,18402703,5771010050,315,316,311,313,1,8974
2019-12-09,2330,23556081,7433484496,314,316.5,314,316,3,10583
2019-12-10,2330,20847594,6540475540,315,315.5,312.5,313.5,-2.5,8702
2019-12-11,2330,34329148,10866410212,314,319,313,319,5.5,11689
2019-12-12,2330,52801851,17446169339,325,334.5,324,331.5,12.5,22555
2019-12-13,2330,60843939,20697194061,340,343,338,339,7.5,23025
2019-12-16,2330,48340188,16272523200,336.5,338.5,336,336,-3,16938
2019-12-17,2330,41428458,14153896438,335,345,335,345,9,16808
2019-12-18,2330,42486841,14594689501,341.5,345,341.5,344.5,-0.5,15836
2019-12-19,2330,55667012,18774880620,340,342,335,335,0,28105
2019-12-20,2330,86280459,28483237354,332,333,328.5,329,-6,28112
2019-12-23,2330,26911340,8923609754,329.5,334,329.5,334,5,12310
2019-12-24,2330,13783907,4591661991,334,334.5,332,332,-2,7887
2019-12-25,2330,12262954,4075131136,332,334.5,331,333,1,7597
2019-12-26,2330,11427884,3803665702,333,334,331.5,333,0,6439
2019-12-27,2330,16677806,5624251712,335,338,335,338,5,8660
2019-12-30,2330,21591263,7270827164,338,339,334,334.5,-3.5,10468
2019-12-31,2330,22950517,7614538961,331,333.5,331,331,-3.5,12253
2020-01-02,2330,33282120,11224165450,332.5,339,332.5,339,8,17160
2020-01-03,2330,42023268,14295651580,344,345,335.5,339.5,0.5,20545
2020-01-06,2330,45677057,15210531318,333,334.5,332,332,-7.5,22944
2020-01-07,2330,51746181,17053282011,332.5,333,326.5,329.5,-2.5,22362
2020-01-08,2330,37913748,12484410088,325,333,325,329.5,0,18228
2020-01-09,2330,32397504,10890847940,335,337.5,333.5,337.5,8,16793
2020-01-10,2330,27880115,9432320316,340.5,341,336,339.5,2,13296
2020-01-13,2330,30663332,10455852739,342,342,339,341.5,2,13457
2020-01-14,2330,30368993,10488360978,345.5,346,344.5,346,4.5,16339
2020-01-15,2330,54575274,18590754206,345,345,337.5,340,-6,20392
2020-01-16,2330,58217420,19431133895,330,336.5,330,334.5,-5.5,24721
2020-01-17,2330,53908097,17977119406,334,335.5,332,333,-1.5,23954
2020-01-20,2330,35551203,11865436839,334,335.5,333,333,0,15095
2020-01-30,2330,126820049,40734449874,326,326,316.5,316.5,-16.5,55603
2020-01-31,2330,62912055,20205365710,323,323.5,319,320,3.5,22639
2020-02-03,2330,59711849,18782694826,315,316.5,312,315,-5,26483
2020-02-04,2330,52208496,16882411296,319,326,318,325,10,22587
2020-02-05,2330,36601453,11985817083,329,329.5,324.5,327.5,2.5,16656
